year,city,country,avg_temp,10y_ma
1775,Denver,United States,10.32,
1776,Denver,United States,6.23,
1777,Denver,United States,,
1778,Denver,United States,,
1779,Denver,United States,,
1780,Denver,United States,,
1781,Denver,United States,,
1782,Denver,United States,,
1783,Denver,United States,,
1784,Denver,United States,,
1785,Denver,United States,,
1786,Denver,United States,,
1787,Denver,United States,,
1788,Denver,United States,,
1789,Denver,United States,,
1790,Denver,United States,,
1791,Denver,United States,,
1792,Denver,United States,,
1793,Denver,United States,,
1794,Denver,United States,,
1795,Denver,United States,,
1796,Denver,United States,,
1797,Denver,United States,,
1798,Denver,United States,,
1799,Denver,United States,,
1800,Denver,United States,,
1801,Denver,United States,,
1802,Denver,United States,,
1803,Denver,United States,,
1804,Denver,United States,,
1805,Denver,United States,,
1806,Denver,United States,,
1807,Denver,United States,,
1808,Denver,United States,,
1809,Denver,United States,,
1810,Denver,United States,,
1811,Denver,United States,,
1812,Denver,United States,,
1813,Denver,United States,,
1814,Denver,United States,,
1815,Denver,United States,,
1816,Denver,United States,,
1817,Denver,United States,,
1818,Denver,United States,,
1819,Denver,United States,,
1820,Denver,United States,7.43,
1821,Denver,United States,8.11,
1822,Denver,United States,8.36,
1823,Denver,United States,8.03,
1824,Denver,United States,8.43,
1825,Denver,United States,9.1,
1826,Denver,United States,8.44,
1827,Denver,United States,9.2,
1828,Denver,United States,8.6,
1829,Denver,United States,8.5,
1830,Denver,United States,9.33,
1831,Denver,United States,7.61,8.5
1832,Denver,United States,8.35,8.52
1833,Denver,United States,9.07,8.54
1834,Denver,United States,10.31,8.61
1835,Denver,United States,7.42,8.81
1836,Denver,United States,7.46,8.72
1837,Denver,United States,8,8.57
1838,Denver,United States,7.34,8.53
1839,Denver,United States,8.57,8.36
1840,Denver,United States,8.1,8.36
1841,Denver,United States,8.11,8.32
1842,Denver,United States,8.48,8.21
1843,Denver,United States,7.76,8.29
1844,Denver,United States,8.11,8.24
1845,Denver,United States,8.71,8.15
1846,Denver,United States,9.44,8.01
1847,Denver,United States,7.67,8.19
1848,Denver,United States,7.87,8.21
1849,Denver,United States,8.23,8.2
1850,Denver,United States,8.24,8.28
1851,Denver,United States,8.83,8.25
1852,Denver,United States,7.84,8.31
1853,Denver,United States,8.52,8.29
1854,Denver,United States,9.22,8.29
1855,Denver,United States,8.81,8.43
1856,Denver,United States,8.11,8.49
1857,Denver,United States,8.57,8.43
1858,Denver,United States,8.45,8.36
1859,Denver,United States,7.81,8.43
1860,Denver,United States,8.95,8.42
1861,Denver,United States,9.21,8.49
1862,Denver,United States,8.59,8.57
1863,Denver,United States,8.92,8.55
1864,Denver,United States,8.53,8.65
1865,Denver,United States,8.49,8.65
1866,Denver,United States,8.46,8.59
1867,Denver,United States,9.26,8.55
1868,Denver,United States,8.49,8.66
1869,Denver,United States,7.75,8.65
1870,Denver,United States,8.84,8.59
1871,Denver,United States,9.35,8.68
1872,Denver,United States,7.73,8.72
1873,Denver,United States,8.1,8.58
1874,Denver,United States,8.72,8.54
1875,Denver,United States,7.68,8.52
1876,Denver,United States,8.37,8.44
1877,Denver,United States,8.23,8.43
1878,Denver,United States,8.68,8.41
1879,Denver,United States,9.29,8.36
1880,Denver,United States,7.8,8.43
1881,Denver,United States,8.92,8.44
1882,Denver,United States,8.62,8.44
1883,Denver,United States,7.94,8.38
1884,Denver,United States,7.9,8.4
1885,Denver,United States,8.24,8.38
1886,Denver,United States,8.47,8.33
1887,Denver,United States,8.75,8.41
1888,Denver,United States,8.85,8.44
1889,Denver,United States,8.73,8.5
1890,Denver,United States,9.1,8.5
1891,Denver,United States,7.75,8.48
1892,Denver,United States,8,8.48
1893,Denver,United States,8.78,8.4
1894,Denver,United States,8.8,8.41
1895,Denver,United States,7.6,8.49
1896,Denver,United States,9.24,8.46
1897,Denver,United States,8.45,8.55
1898,Denver,United States,7.97,8.55
1899,Denver,United States,8.01,8.48
1900,Denver,United States,9.32,8.4
1901,Denver,United States,9.05,8.46
1902,Denver,United States,8.82,8.45
1903,Denver,United States,7.93,8.55
1904,Denver,United States,8.86,8.54
1905,Denver,United States,8.13,8.55
1906,Denver,United States,8.49,8.49
1907,Denver,United States,9.01,8.57
1908,Denver,United States,8.6,8.55
1909,Denver,United States,8.04,8.56
1910,Denver,United States,9.78,8.57
