year,city,country,avg_temp,10y_ma
1828,Seattle,United States,7.13,
1829,Seattle,United States,6.8,
1830,Seattle,United States,,
1831,Seattle,United States,,
1832,Seattle,United States,3.52,
1833,Seattle,United States,7.48,
1834,Seattle,United States,7.1,
1835,Seattle,United States,5.58,
1836,Seattle,United States,6.74,
1837,Seattle,United States,6.81,
1838,Seattle,United States,6.59,
1839,Seattle,United States,7.3,
1840,Seattle,United States,6.69,
1841,Seattle,United States,6.81,
1842,Seattle,United States,6.88,
1843,Seattle,United States,6.55,6.5
1844,Seattle,United States,6.41,6.78
1845,Seattle,United States,6.88,6.68
1846,Seattle,United States,,6.66
1847,Seattle,United States,8.99,6.77
1848,Seattle,United States,6.6,6.99
1849,Seattle,United States,6.68,6.97
1850,Seattle,United States,7.06,6.98
1851,Seattle,United States,7.79,6.96
1852,Seattle,United States,7.08,7.07
1853,Seattle,United States,7.61,7.09
1854,Seattle,United States,6.99,7.17
1855,Seattle,United States,7.31,7.21
1856,Seattle,United States,7.44,7.3
1857,Seattle,United States,7.91,7.36
1858,Seattle,United States,6.91,7.41
1859,Seattle,United States,6.27,7.22
1860,Seattle,United States,7.63,7.19
1861,Seattle,United States,7.18,7.27
1862,Seattle,United States,6.36,7.28
1863,Seattle,United States,7.44,7.15
1864,Seattle,United States,7.64,7.19
1865,Seattle,United States,7.05,7.19
1866,Seattle,United States,7.39,7.19
1867,Seattle,United States,7.12,7.2
1868,Seattle,United States,6.99,7.17
1869,Seattle,United States,8.33,7.09
1870,Seattle,United States,7.85,7.22
1871,Seattle,United States,7.97,7.36
1872,Seattle,United States,7.34,7.39
1873,Seattle,United States,7.47,7.41
1874,Seattle,United States,7.32,7.51
1875,Seattle,United States,6.9,7.5
1876,Seattle,United States,7.12,7.43
1877,Seattle,United States,8.14,7.44
1878,Seattle,United States,7.89,7.5
1879,Seattle,United States,6.74,7.57
1880,Seattle,United States,5.95,7.55
1881,Seattle,United States,6.86,7.34
1882,Seattle,United States,6.88,7.25
1883,Seattle,United States,6.97,7.15
1884,Seattle,United States,6.81,7.11
1885,Seattle,United States,8.66,7.05
1886,Seattle,United States,7.85,7.17
1887,Seattle,United States,6.77,7.26
1888,Seattle,United States,7.73,7.23
1889,Seattle,United States,8.08,7.19
1890,Seattle,United States,7.03,7.21
1891,Seattle,United States,7.61,7.24
1892,Seattle,United States,7.54,7.39
1893,Seattle,United States,6.16,7.45
1894,Seattle,United States,6.88,7.38
1895,Seattle,United States,7.26,7.37
1896,Seattle,United States,7.2,7.42
1897,Seattle,United States,7.5,7.28
1898,Seattle,United States,7.6,7.25
1899,Seattle,United States,7.08,7.33
1900,Seattle,United States,7.95,7.27
1901,Seattle,United States,7.27,7.26
