,Year,Month,MinDryBulbTemp_Cincinnati,MinWetBulbTemp_Cincinnati,MinDewPointTemp_Cincinnati,MinHumidity_Cincinnati,MinSeaLevelPressure_Cincinnati,MinStationPressure_Cincinnati,MinWindspeed_Cincinnati,DECADE
0,1948,1,253.14999999999998,252.59444444444443,250.3722222222222,6.0,29.18,28.26,0.0,1940
1,1948,2,258.15,257.59444444444443,253.70555555555552,31.0,29.4,28.46,0.0,1940
2,1948,3,259.81666666666666,259.26111111111106,258.15,21.0,29.36,28.45,0.0,1940
3,1948,4,273.15,272.59444444444443,268.15,25.0,29.59,28.66,0.0,1940
4,1948,5,279.26111111111106,278.15,275.3722222222222,26.0,29.54,28.61,0.0,1940
5,1948,6,282.0388888888889,280.3722222222222,278.15,26.0,29.61,28.69,0.0,1940
6,1948,7,285.3722222222222,284.81666666666666,282.0388888888889,24.0,29.72,28.81,0.0,1940
7,1948,8,284.26111111111106,283.7055555555555,282.0388888888889,28.0,29.82,28.9,0.0,1940
8,1948,9,281.4833333333333,279.81666666666666,278.15,22.0,29.75,28.84,0.0,1940
9,1948,10,269.81666666666666,268.7055555555555,266.4833333333333,25.0,29.68,28.75,0.0,1940
10,1948,11,269.81666666666666,269.26111111111106,267.59444444444443,37.0,29.47,28.54,0.0,1940
11,1948,12,259.81666666666666,259.26111111111106,255.3722222222222,29.0,29.59,28.66,0.0,1940
12,1949,1,258.15,257.59444444444443,254.2611111111111,44.0,29.51,28.58,0.0,1940
13,1949,2,261.4833333333333,261.4833333333333,259.81666666666666,39.0,29.61,28.68,0.0,1940
14,1949,3,264.81666666666666,264.26111111111106,260.92777777777775,30.0,29.48,28.55,0.0,1940
15,1949,4,272.0388888888889,270.92777777777775,265.3722222222222,26.0,29.5,28.58,0.0,1940
16,1949,5,276.4833333333333,274.81666666666666,270.92777777777775,20.0,29.55,28.64,0.0,1940
17,1949,6,282.59444444444443,279.81666666666666,272.59444444444443,21.0,29.74,28.82,0.0,1940
18,1949,7,289.26111111111106,288.15,285.3722222222222,33.0,29.79,28.88,0.0,1940
19,1949,8,286.4833333333333,284.26111111111106,280.92777777777775,33.0,29.78,28.86,0.0,1940
20,1949,9,274.81666666666666,273.7055555555555,272.59444444444443,29.0,29.83,28.89,0.0,1940
21,1949,10,274.26111111111106,272.59444444444443,269.26111111111106,28.0,29.78,28.86,0.0,1940
22,1949,11,266.4833333333333,265.92777777777775,264.26111111111106,33.0,29.46,28.52,2.0,1940
23,1949,12,260.92777777777775,260.3722222222222,258.15,33.0,29.58,28.66,0.0,1940
24,1950,1,264.81666666666666,263.7055555555555,260.3722222222222,39.0,29.63,28.7,0.0,1950
25,1950,2,254.81666666666663,254.81666666666663,253.14999999999998,31.0,29.39,28.46,0.0,1950
26,1950,3,259.81666666666666,258.7055555555555,253.70555555555552,23.0,29.17,28.27,0.0,1950
27,1950,4,268.7055555555555,267.0388888888889,263.15,24.0,29.54,28.62,0.0,1950
28,1950,5,278.15,274.26111111111106,265.3722222222222,27.0,29.66,28.74,0.0,1950
29,1950,6,281.4833333333333,280.3722222222222,277.0388888888889,31.0,29.78,28.85,0.0,1950
30,1950,7,286.4833333333333,284.26111111111106,281.4833333333333,32.0,29.83,28.91,0.0,1950
31,1950,8,281.4833333333333,281.4833333333333,276.4833333333333,33.0,29.76,28.84,0.0,1950
32,1950,9,274.81666666666666,274.81666666666666,272.59444444444443,23.0,29.68,28.76,0.0,1950
33,1950,10,274.81666666666666,274.81666666666666,273.15,30.0,29.72,28.79,0.0,1950
34,1950,11,255.3722222222222,254.81666666666663,248.70555555555552,35.0,29.27,28.31,0.0,1950
35,1950,12,257.59444444444443,257.0388888888889,252.03888888888886,44.0,29.66,28.73,0.0,1950
36,1951,1,258.15,257.59444444444443,255.3722222222222,39.0,29.44,28.51,0.0,1950
37,1951,2,247.59444444444443,247.59444444444443,243.70555555555552,27.0,29.45,28.52,0.0,1950
38,1951,3,265.3722222222222,264.81666666666666,260.92777777777775,29.0,29.53,28.61,0.0,1950
39,1951,4,272.0388888888889,271.4833333333333,265.3722222222222,28.0,29.44,28.5,0.0,1950
40,1951,5,278.15,276.4833333333333,274.26111111111106,25.0,29.55,28.63,0.0,1950
41,1951,6,283.15,282.59444444444443,279.26111111111106,30.0,29.73,28.01,0.0,1950
42,1951,7,284.26111111111106,283.7055555555555,279.26111111111106,24.0,29.72,28.81,0.0,1950
43,1951,8,283.7055555555555,282.59444444444443,273.15,18.0,29.7,28.79,0.0,1950
44,1951,9,276.4833333333333,275.92777777777775,269.81666666666666,19.0,29.78,28.86,0.0,1950
45,1951,10,272.59444444444443,272.0388888888889,270.92777777777775,25.0,29.71,28.79,0.0,1950
46,1951,11,262.0388888888889,261.4833333333333,258.7055555555555,30.0,29.44,28.52,0.0,1950
47,1951,12,252.59444444444443,252.03888888888886,248.70555555555552,35.0,29.38,28.44,0.0,1950
48,1952,1,257.59444444444443,257.0388888888889,254.2611111111111,33.0,29.5,28.57,0.0,1950
49,1952,2,267.0388888888889,266.4833333333333,257.59444444444443,17.0,29.38,28.45,0.0,1950
50,1952,3,265.3722222222222,264.26111111111106,260.92777777777775,25.0,28.97,28.05,0.0,1950
51,1952,4,271.4833333333333,270.92777777777775,266.4833333333333,18.0,29.53,28.6,0.0,1950
52,1952,5,277.0388888888889,276.4833333333333,271.4833333333333,21.0,29.6,28.68,0.0,1950
53,1952,6,285.92777777777775,283.15,279.26111111111106,29.0,29.81,28.9,0.0,1950
54,1952,7,284.81666666666666,283.7055555555555,280.92777777777775,26.0,29.84,28.93,0.0,1950
55,1952,8,283.7055555555555,282.59444444444443,274.26111111111106,19.0,29.74,28.83,0.0,1950
56,1952,9,278.15,278.15,273.7055555555555,20.0,29.69,28.77,0.0,1950
57,1952,10,267.0388888888889,266.4833333333333,258.15,13.0,29.76,28.84,0.0,1950
58,1952,11,265.3722222222222,264.26111111111106,260.3722222222222,23.0,29.66,28.73,0.0,1950
59,1952,12,263.15,262.59444444444443,260.92777777777775,36.0,29.7,28.75,0.0,1950
60,1953,1,261.4833333333333,260.3722222222222,257.59444444444443,32.0,29.38,28.45,0.0,1950
61,1953,2,263.15,262.0388888888889,258.15,24.0,29.55,28.62,0.0,1950
62,1953,3,267.0388888888889,266.4833333333333,261.4833333333333,17.0,29.33,28.41,0.0,1950
63,1953,4,269.81666666666666,269.26111111111106,262.0388888888889,16.0,29.48,28.12,0.0,1950
64,1953,5,280.3722222222222,278.7055555555555,272.59444444444443,20.0,29.49,28.57,0.0,1950
65,1953,6,282.0388888888889,280.3722222222222,275.3722222222222,23.0,29.73,28.82,0.0,1950
66,1953,7,284.81666666666666,283.7055555555555,279.26111111111106,25.0,29.72,28.81,0.0,1950
67,1953,8,284.26111111111106,282.59444444444443,277.0388888888889,19.0,29.83,28.92,0.0,1950
