,Year,Month,AvgDryBulbTemp_NewYork,AvgWetBulbTemp_NewYork,AvgDewPointTemp_NewYork,AvgHumidity_NewYork,AvgSeaLevelPressure_NewYork,AvgStationPressure_NewYork,AvgWindspeed_NewYork,Precipitation_NewYork,DECADE
0,1948,1,,,,,,,,0.0,1940
1,1948,2,,,,,,,,0.0,1940
2,1948,3,,,,,,,,0.0,1940
3,1948,4,,,,,,,,0.0,1940
4,1948,5,,,,,,,,0.0,1940
5,1948,6,,,,,,,,0.0,1940
6,1948,7,298.00376149555325,293.30151515151516,290.553889642696,65.30393487109905,29.96845318860243,29.90837177747631,10.44504748982361,5.0200000000000005,1940
7,1948,8,297.13908329594824,293.04293201557385,290.7266412442048,69.65545087483176,30.002749326145548,29.942466307277595,9.11843876177658,3.8400000000000003,1940
8,1948,9,293.86086385411926,289.5408205841454,286.36202287127196,64.14881780250347,30.084200278164083,30.02421418636999,10.073713490959666,1.1600000000000001,1940
9,1948,10,286.6737455197137,283.191069295102,279.69420549581844,64.5241935483871,30.09604838709682,30.036689098250296,15.149193548387096,1.61,1940
10,1948,11,284.45478395061764,281.7726851851858,278.6916666666671,69.80972222222222,30.08640277777777,30.02661111111114,12.9375,2.2800000000000002,1940
11,1948,12,276.90522700119567,274.4380824372763,270.21466547192404,64.26747311827957,30.078991935483906,30.01897849462365,14.184139784946236,5.29,1940
12,1949,1,277.0142473118286,274.76663679808894,270.84041218638043,66.52822580645162,30.187204301075273,30.12735215053769,13.690860215053764,0.02,1940
13,1949,2,277.0736111111114,274.5521164021167,270.10601851851885,62.992559523809526,30.157991071428587,30.098065476190463,14.239583333333334,0.0,1940
14,1949,3,278.7443847072878,275.602519814566,270.4028375149345,58.181451612903224,30.005074024226108,29.945087483176348,15.397849462365592,0.0,1940
15,1949,4,284.6165430381706,280.7067918405194,276.1572631741619,58.7134909596662,29.95052851182194,29.890500695410278,14.262865090403338,0.0,1940
16,1949,5,289.67479091995267,285.8807347670255,282.54665471923533,65.5,30.038172043010793,29.97837365591401,11.618279569892474,4.5200000000000005,1940
17,1949,6,296.09135802469206,291.41851851851897,288.3629629629629,64.44722222222222,30.061513888888864,30.00158333333338,11.338888888888889,0.0,1940
18,1949,7,298.95943847072976,294.3499701314226,291.8746117084828,67.30779569892474,30.012728494623698,29.952594086021445,10.018817204301076,3.9100000000000006,1940
19,1949,8,297.6041647973685,293.2584193210708,290.6922461492455,67.97173620457605,30.011170928667593,29.950915208613658,8.756393001345895,3.1000000000000005,1940
20,1949,9,291.9702160493836,288.18472222222294,285.14228395061804,67.00694444444444,30.06613888888891,30.005986111111053,11.122222222222222,3.92,1940
21,1949,10,290.0257467144569,286.36236559139815,283.0596475507772,65.8239247311828,30.179690860215107,30.11952956989245,10.846774193548388,1.8900000000000001,1940
22,1949,11,281.17006172839535,278.10833333333335,273.91697530864235,62.543055555555554,29.885013888888924,29.82506944444446,12.948611111111111,1.0299999999999998,1940
23,1949,12,277.4100059737158,275.1870370370374,271.0957885304666,66.08064516129032,30.279784946236575,30.219919354838737,12.241935483870968,2.16,1940
24,1950,1,278.15299087782313,276.16330940631065,272.63556901450556,70.44549125168237,30.222584118438714,30.162772543741607,12.212651413189771,2.5,1950
25,1950,2,273.2773148148157,271.53707010582053,267.49689153439186,68.04166666666667,30.130133928571414,30.07044642857144,15.288690476190476,4.21,1950
26,1950,3,275.58578255675064,273.0581541218637,267.8206989247319,59.98118279569893,29.967997311827986,29.908185483870987,17.254032258064516,3.250000000000001,1950
27,1950,4,281.95246913580274,278.63456790123473,273.9594135802477,61.41111111111111,29.993847222222225,29.93408333333336,13.47638888888889,1.9100000000000001,1950
28,1950,5,287.43315412186405,284.23870967741954,281.0442652329752,70.25672043010752,30.039274193548447,29.979489247311744,11.295698924731182,2.47,1950
29,1950,6,294.3899691358029,289.5959876543211,286.1368827160493,62.456944444444446,29.962041666666632,29.902194444444437,10.856944444444444,2.4,1950
30,1950,7,296.97243130227037,292.22482078853096,289.2543906810039,64.78225806451613,30.021465053763414,29.961545698924706,10.071236559139784,5.41,1950
