,Year,Month,MaxDryBulbTemp_NewYork,MaxWetBulbTemp_NewYork,MaxDewPointTemp_NewYork,MaxHumidity_NewYork,MaxSeaLevelPressure_NewYork,MaxStationPressure_NewYork,MaxWindspeed_NewYork,DECADE
0,1948,1,,,,,,,,1940
1,1948,2,,,,,,,,1940
2,1948,3,,,,,,,,1940
3,1948,4,,,,,,,,1940
4,1948,5,,,,,,,,1940
5,1948,6,,,,,,,,1940
6,1948,7,307.0388888888889,299.26111111111106,297.0388888888889,97.0,30.32,30.26,36.0,1940
7,1948,8,312.59444444444443,299.81666666666666,296.4833333333333,97.0,30.24,30.18,29.0,1940
8,1948,9,304.26111111111106,297.0388888888889,295.3722222222222,96.0,30.54,30.48,26.0,1940
9,1948,10,298.7055555555555,293.15,291.4833333333333,97.0,30.6,30.54,41.0,1940
10,1948,11,295.92777777777775,292.0388888888889,291.4833333333333,100.0,30.47,30.41,33.0,1940
11,1948,12,287.59444444444443,285.92777777777775,285.3722222222222,100.0,30.55,30.49,35.0,1940
12,1949,1,289.81666666666666,287.59444444444443,287.0388888888889,100.0,30.87,30.81,30.0,1940
13,1949,2,296.4833333333333,289.81666666666666,286.4833333333333,100.0,30.61,30.55,36.0,1940
14,1949,3,297.0388888888889,292.59444444444443,290.3722222222222,100.0,30.68,30.62,36.0,1940
15,1949,4,298.7055555555555,290.3722222222222,287.59444444444443,100.0,30.44,30.38,37.0,1940
16,1949,5,307.0388888888889,296.4833333333333,292.0388888888889,97.0,30.33,30.27,30.0,1940
17,1949,6,308.15,298.7055555555555,296.4833333333333,100.0,30.45,30.39,26.0,1940
18,1949,7,310.92777777777775,299.26111111111106,298.15,97.0,30.34,30.28,40.0,1940
19,1949,8,310.3722222222222,299.26111111111106,296.4833333333333,100.0,30.25,30.19,30.0,1940
20,1949,9,302.0388888888889,295.92777777777775,294.81666666666666,100.0,30.51,30.45,32.0,1940
21,1949,10,304.26111111111106,296.4833333333333,292.59444444444443,100.0,30.6,30.54,45.0,1940
22,1949,11,296.4833333333333,289.26111111111106,288.7055555555555,97.0,30.28,30.22,39.0,1940
23,1949,12,290.3722222222222,288.7055555555555,288.15,100.0,31.02,30.96,36.0,1940
24,1950,1,294.81666666666666,290.3722222222222,288.15,100.0,30.71,30.65,41.0,1950
25,1950,2,283.15,282.59444444444443,282.0388888888889,100.0,30.74,30.68,45.0,1950
26,1950,3,291.4833333333333,288.7055555555555,288.15,100.0,30.6,30.54,41.0,1950
27,1950,4,295.92777777777775,290.3722222222222,287.59444444444443,97.0,30.39,30.33,31.0,1950
28,1950,5,300.92777777777775,294.81666666666666,291.4833333333333,100.0,30.39,30.33,36.0,1950
29,1950,6,306.4833333333333,298.15,296.4833333333333,100.0,30.3,30.24,35.0,1950
30,1950,7,306.4833333333333,297.59444444444443,295.92777777777775,100.0,30.34,30.28,30.0,1950
31,1950,8,303.7055555555555,298.15,297.59444444444443,100.0,30.26,30.2,26.0,1950
32,1950,9,303.7055555555555,297.59444444444443,296.4833333333333,100.0,30.47,30.41,30.0,1950
33,1950,10,303.7055555555555,294.81666666666666,291.4833333333333,100.0,30.56,30.51,28.0,1950
34,1950,11,301.4833333333333,293.7055555555555,291.4833333333333,100.0,30.51,30.45,62.0,1950
35,1950,12,289.26111111111106,288.15,287.59444444444443,100.0,30.54,30.48,40.0,1950
36,1951,1,290.92777777777775,285.92777777777775,284.26111111111106,100.0,30.68,30.62,44.0,1950
37,1951,2,291.4833333333333,285.92777777777775,283.15,100.0,30.82,30.76,51.0,1950
38,1951,3,289.26111111111106,285.92777777777775,285.92777777777775,100.0,30.44,30.38,41.0,1950
39,1951,4,301.4833333333333,293.15,289.26111111111106,100.0,30.45,30.39,41.0,1950
40,1951,5,305.3722222222222,294.81666666666666,292.0388888888889,100.0,30.56,30.5,38.0,1950
41,1951,6,305.3722222222222,297.59444444444443,295.92777777777775,100.0,30.21,30.15,29.0,1950
42,1951,7,307.0388888888889,298.15,297.0388888888889,100.0,30.17,30.11,38.0,1950
43,1951,8,307.0388888888889,298.15,297.0388888888889,97.0,30.2,30.14,28.0,1950
44,1951,9,302.0388888888889,296.4833333333333,294.81666666666666,100.0,30.42,30.36,30.0,1950
45,1951,10,301.4833333333333,294.26111111111106,292.0388888888889,100.0,30.66,30.6,35.0,1950
46,1951,11,292.59444444444443,290.3722222222222,290.3722222222222,100.0,30.75,30.69,36.0,1950
47,1951,12,290.92777777777775,288.7055555555555,288.15,100.0,30.61,30.55,35.0,1950
48,1952,1,289.26111111111106,288.15,287.0388888888889,100.0,30.71,30.65,36.0,1950
49,1952,2,284.26111111111106,283.15,282.59444444444443,100.0,30.42,30.36,45.0,1950
50,1952,3,288.7055555555555,287.0388888888889,285.92777777777775,100.0,30.41,30.35,40.0,1950
51,1952,4,300.3722222222222,291.4833333333333,287.59444444444443,100.0,30.47,30.41,35.0,1950
52,1952,5,300.3722222222222,294.26111111111106,290.92777777777775,100.0,30.24,30.18,35.0,1950
53,1952,6,310.92777777777775,300.3722222222222,298.15,100.0,30.28,30.22,35.0,1950
54,1952,7,308.7055555555555,300.3722222222222,298.15,100.0,30.37,30.31,31.0,1950
55,1952,8,304.81666666666666,298.7055555555555,297.59444444444443,100.0,30.27,30.21,30.0,1950
56,1952,9,307.0388888888889,298.7055555555555,297.59444444444443,97.0,30.51,30.45,43.0,1950
57,1952,10,299.81666666666666,294.26111111111106,292.59444444444443,100.0,30.43,30.37,55.0,1950
58,1952,11,295.3722222222222,288.7055555555555,288.15,100.0,30.48,30.42,48.0,1950
59,1952,12,288.7055555555555,287.59444444444443,287.0388888888889,100.0,30.59,30.53,44.0,1950
60,1953,1,288.15,284.81666666666666,284.81666666666666,100.0,30.59,30.53,37.0,1950
61,1953,2,293.15,290.3722222222222,288.15,100.0,30.46,30.4,52.0,1950
62,1953,3,293.15,286.4833333333333,286.4833333333333,100.0,30.72,30.66,40.0,1950
63,1953,4,297.59444444444443,292.59444444444443,290.3722222222222,97.0,30.11,30.05,48.0,1950
64,1953,5,308.15,295.3722222222222,294.26111111111106,100.0,30.36,30.3,35.0,1950
65,1953,6,308.7055555555555,298.7055555555555,296.4833333333333,100.0,30.23,30.17,32.0,1950
66,1953,7,309.81666666666666,298.15,295.92777777777775,100.0,30.36,30.3,41.0,1950
67,1953,8,310.92777777777775,298.15,295.92777777777775,100.0,30.29,30.23,30.0,1950
68,1953,9,312.0388888888889,298.7055555555555,297.0388888888889,97.0,30.59,30.53,32.0,1950
69,1953,10,299.81666666666666,292.59444444444443,291.4833333333333,100.0,30.48,30.42,35.0,1950
70,1953,11,295.3722222222222,290.3722222222222,289.26111111111106,100.0,30.53,30.47,55.0,1950
71,1953,12,288.7055555555555,288.7055555555555,288.7055555555555,100.0,30.38,30.32,44.0,1950
72,1954,1,286.4833333333333,284.81666666666666,284.26111111111106,100.0,30.6,30.54,35.0,1950
73,1954,2,294.26111111111106,287.0388888888889,284.26111111111106,100.0,30.62,30.56,30.0,1950
74,1954,3,292.59444444444443,286.4833333333333,285.3722222222222,100.0,30.31,30.25,39.0,1950
75,1954,4,298.7055555555555,292.59444444444443,289.26111111111106,100.0,30.72,30.66,40.0,1950
76,1954,5,302.59444444444443,294.81666666666666,292.59444444444443,100.0,30.29,30.23,41.0,1950
77,1954,6,305.92777777777775,297.0388888888889,294.26111111111106,97.0,30.4,30.34,30.0,1950
78,1954,7,309.81666666666666,299.26111111111106,297.59444444444443,94.0,30.2,30.14,36.0,1950
79,1954,8,305.92777777777775,297.59444444444443,296.4833333333333,100.0,30.46,30.4,45.0,1950
80,1954,9,304.26111111111106,296.4833333333333,295.3722222222222,100.0,30.36,30.3,46.0,1950
81,1954,10,303.15,297.0388888888889,295.3722222222222,100.0,30.67,30.61,54.0,1950
82,1954,11,290.92777777777775,289.81666666666666,289.26111111111106,100.0,30.71,30.65,46.0,1950
83,1954,12,287.59444444444443,286.4833333333333,286.4833333333333,100.0,30.54,30.48,47.0,1950
84,1955,1,284.26111111111106,281.4833333333333,280.92777777777775,100.0,30.4,30.34,46.0,1950
85,1955,2,288.7055555555555,284.81666666666666,284.26111111111106,100.0,30.71,30.65,39.0,1950
86,1955,3,294.26111111111106,287.0388888888889,284.81666666666666,100.0,30.4,30.34,46.0,1950
87,1955,4,300.92777777777775,290.3722222222222,288.15,100.0,30.39,30.33,39.0,1950
88,1955,5,304.81666666666666,295.92777777777775,293.15,100.0,30.32,30.26,38.0,1950
89,1955,6,305.3722222222222,296.4833333333333,294.81666666666666,100.0,30.3,30.24,32.0,1950
90,1955,7,310.92777777777775,298.7055555555555,297.0388888888889,97.0,30.34,30.28,25.0,1950
91,1955,8,310.92777777777775,299.26111111111106,297.59444444444443,100.0,30.3,30.24,40.0,1950
92,1955,9,302.0388888888889,297.59444444444443,295.92777777777775,100.0,30.47,30.41,35.0,1950
93,1955,10,303.15,295.3722222222222,294.26111111111106,96.0,30.47,30.41,51.0,1950
94,1955,11,293.15,289.81666666666666,287.59444444444443,100.0,30.32,30.26,44.0,1950
95,1955,12,284.81666666666666,282.0388888888889,281.4833333333333,100.0,30.7,30.64,39.0,1950
96,1956,1,281.4833333333333,280.92777777777775,279.81666666666666,100.0,30.66,30.6,53.0,1950
97,1956,2,288.7055555555555,285.3722222222222,283.7055555555555,100.0,30.84,30.78,35.0,1950
98,1956,3,290.92777777777775,284.26111111111106,283.15,100.0,30.42,30.36,45.0,1950
99,1956,4,302.0388888888889,293.7055555555555,289.81666666666666,100.0,30.49,30.43,40.0,1950
100,1956,5,305.92777777777775,296.4833333333333,293.7055555555555,97.0,30.57,30.51,31.0,1950
101,1956,6,309.81666666666666,298.15,295.92777777777775,100.0,30.33,30.27,24.0,1950
102,1956,7,307.59444444444443,298.7055555555555,296.4833333333333,97.0,30.28,30.22,26.0,1950
103,1956,8,305.92777777777775,297.59444444444443,297.0388888888889,97.0,30.24,30.18,39.0,1950
104,1956,9,303.7055555555555,298.15,297.0388888888889,100.0,30.38,30.32,33.0,1950
105,1956,10,301.4833333333333,292.59444444444443,291.4833333333333,100.0,30.66,30.6,31.0,1950
106,1956,11,293.7055555555555,292.59444444444443,292.0388888888889,100.0,30.48,30.42,37.0,1950
107,1956,12,293.15,288.7055555555555,285.92777777777775,100.0,30.59,30.53,40.0,1950
108,1957,1,289.81666666666666,288.15,287.59444444444443,100.0,30.84,30.78,46.0,1950
109,1957,2,289.26111111111106,287.59444444444443,287.0388888888889,100.0,30.57,30.51,31.0,1950
110,1957,3,293.15,283.7055555555555,279.26111111111106,100.0,30.42,30.36,43.0,1950
111,1957,4,302.59444444444443,293.7055555555555,290.3722222222222,100.0,30.53,30.47,32.0,1950
112,1957,5,303.15,295.3722222222222,293.15,100.0,30.35,30.29,31.0,1950
113,1957,6,308.7055555555555,299.26111111111106,296.4833333333333,100.0,30.24,30.18,29.0,1950
114,1957,7,310.92777777777775,298.15,295.92777777777775,97.0,30.23,30.17,28.0,1950
115,1957,8,307.59444444444443,297.0388888888889,295.3722222222222,100.0,30.48,30.42,29.0,1950
116,1957,9,305.92777777777775,297.59444444444443,295.92777777777775,100.0,30.48,30.42,29.0,1950
117,1957,10,298.7055555555555,292.0388888888889,290.3722222222222,100.0,30.62,30.56,32.0,1950
118,1957,11,292.0388888888889,289.81666666666666,289.26111111111106,100.0,30.71,30.65,32.0,1950
119,1957,12,288.7055555555555,287.59444444444443,287.0388888888889,100.0,30.58,30.52,35.0,1950
120,1958,1,284.81666666666666,283.7055555555555,283.7055555555555,100.0,30.68,30.62,40.0,1950
121,1958,2,282.59444444444443,278.7055555555555,277.59444444444443,100.0,30.26,30.2,38.0,1950
122,1958,3,287.59444444444443,280.3722222222222,278.7055555555555,100.0,30.36,30.3,40.0,1950
123,1958,4,298.15,289.26111111111106,288.7055555555555,100.0,30.56,30.5,35.0,1950
124,1958,5,299.81666666666666,293.7055555555555,291.4833333333333,100.0,30.44,30.38,29.0,1950
125,1958,6,304.26111111111106,296.4833333333333,294.81666666666666,100.0,30.42,30.36,33.0,1950
126,1958,7,307.0388888888889,298.7055555555555,297.0388888888889,100.0,30.24,30.18,23.0,1950
127,1958,8,305.92777777777775,298.15,296.4833333333333,97.0,30.15,30.09,20.0,1950
128,1958,9,304.81666666666666,298.7055555555555,296.4833333333333,100.0,30.37,30.31,26.0,1950
129,1958,10,301.4833333333333,294.81666666666666,291.4833333333333,100.0,30.55,30.49,25.0,1950
130,1958,11,290.92777777777775,289.26111111111106,288.7055555555555,100.0,30.58,30.52,35.0,1950
131,1958,12,285.92777777777775,283.15,282.59444444444443,100.0,30.57,30.51,30.0,1950
132,1959,1,287.0388888888889,284.26111111111106,284.26111111111106,100.0,30.56,30.5,46.0,1950
133,1959,2,283.15,280.92777777777775,279.81666666666666,100.0,30.76,30.7,35.0,1950
134,1959,3,294.81666666666666,286.4833333333333,285.3722222222222,100.0,30.52,30.46,37.0,1950
135,1959,4,301.4833333333333,290.92777777777775,286.4833333333333,100.0,30.34,30.28,31.0,1950
136,1959,5,305.92777777777775,297.59444444444443,294.81666666666666,100.0,30.4,30.34,28.0,1950
137,1959,6,309.81666666666666,299.81666666666666,297.0388888888889,100.0,30.18,30.12,37.0,1950
138,1959,7,305.92777777777775,298.7055555555555,297.0388888888889,100.0,30.35,30.29,28.0,1950
139,1959,8,307.59444444444443,299.81666666666666,297.59444444444443,100.0,30.26,30.2,29.0,1950
140,1959,9,305.92777777777775,298.7055555555555,298.15,100.0,30.56,30.5,29.0,1950
141,1959,10,304.26111111111106,297.0388888888889,295.3722222222222,100.0,30.6,30.54,31.0,1950
142,1959,11,293.7055555555555,290.92777777777775,289.81666666666666,100.0,30.43,30.37,40.0,1950
143,1959,12,287.59444444444443,286.4833333333333,286.4833333333333,100.0,30.73,30.67,48.0,1950
144,1960,1,284.81666666666666,283.7055555555555,283.15,100.0,30.46,30.4,46.0,1960
145,1960,2,289.26111111111106,287.0388888888889,285.92777777777775,100.0,30.4,30.34,44.0,1960
146,1960,3,294.26111111111106,287.0388888888889,285.92777777777775,100.0,30.43,30.37,39.0,1960
147,1960,4,303.7055555555555,292.0388888888889,289.26111111111106,100.0,30.46,30.4,29.0,1960
148,1960,5,300.3722222222222,292.0388888888889,289.26111111111106,100.0,30.37,30.31,30.0,1960
149,1960,6,304.81666666666666,297.0388888888889,295.3722222222222,100.0,30.3,30.24,30.0,1960
150,1960,7,305.3722222222222,297.0388888888889,295.92777777777775,100.0,30.21,30.15,44.0,1960
151,1960,8,306.4833333333333,299.26111111111106,298.15,100.0,30.35,30.29,32.0,1960
152,1960,9,305.3722222222222,297.0388888888889,294.81666666666666,100.0,30.47,30.41,63.0,1960
153,1960,10,300.92777777777775,293.7055555555555,291.4833333333333,100.0,30.3,30.24,38.0,1960
154,1960,11,293.7055555555555,290.3722222222222,289.81666666666666,100.0,30.55,30.49,40.0,1960
