,Year,Month,MinDryBulbTemp_NewYork,MinWetBulbTemp_NewYork,MinDewPointTemp_NewYork,MinHumidity_NewYork,MinSeaLevelPressure_NewYork,MinStationPressure_NewYork,MinWindspeed_NewYork,DECADE
0,1948,1,,,,,,,,1940
1,1948,2,,,,,,,,1940
2,1948,3,,,,,,,,1940
3,1948,4,,,,,,,,1940
4,1948,5,,,,,,,,1940
5,1948,6,,,,,,,,1940
6,1948,7,288.7055555555555,287.0388888888889,282.0388888888889,28.0,29.55,29.49,0.0,1940
7,1948,8,290.3722222222222,285.3722222222222,280.92777777777775,34.0,29.72,29.66,0.0,1940
8,1948,9,283.15,279.81666666666666,274.81666666666666,28.0,29.7,29.64,0.0,1940
9,1948,10,276.4833333333333,273.7055555555555,268.7055555555555,29.0,29.75,29.69,0.0,1940
10,1948,11,274.81666666666666,273.7055555555555,269.26111111111106,33.0,29.65,29.59,0.0,1940
11,1948,12,261.4833333333333,259.81666666666666,250.92777777777775,29.0,29.22,29.16,0.0,1940
12,1949,1,266.4833333333333,263.7055555555555,253.14999999999998,24.0,29.18,29.13,0.0,1940
13,1949,2,265.3722222222222,263.15,254.2611111111111,25.0,29.47,29.41,0.0,1940
14,1949,3,265.3722222222222,263.15,252.59444444444443,14.0,29.44,29.38,0.0,1940
15,1949,4,275.92777777777775,273.15,266.4833333333333,23.0,29.23,29.17,1.0,1940
16,1949,5,280.92777777777775,278.15,271.4833333333333,26.0,29.69,29.63,0.0,1940
17,1949,6,284.26111111111106,280.3722222222222,273.15,19.0,29.61,29.55,0.0,1940
18,1949,7,290.92777777777775,287.0388888888889,280.3722222222222,25.0,29.74,29.68,0.0,1940
19,1949,8,287.59444444444443,283.7055555555555,278.7055555555555,24.0,29.6,29.54,0.0,1940
20,1949,9,283.15,280.3722222222222,273.7055555555555,27.0,29.63,29.57,0.0,1940
21,1949,10,279.26111111111106,275.92777777777775,270.3722222222222,27.0,29.57,29.51,0.0,1940
22,1949,11,268.7055555555555,266.4833333333333,256.4833333333333,29.0,29.38,29.32,0.0,1940
23,1949,12,267.59444444444443,264.81666666666666,252.59444444444443,21.0,29.63,29.57,0.0,1940
24,1950,1,264.26111111111106,262.0388888888889,248.70555555555552,22.0,29.7,29.64,0.0,1950
25,1950,2,259.26111111111106,257.59444444444443,245.92777777777775,26.0,29.43,29.37,0.0,1950
26,1950,3,261.4833333333333,259.81666666666666,248.14999999999998,23.0,29.16,29.1,2.0,1950
27,1950,4,270.3722222222222,268.15,258.7055555555555,17.0,29.7,29.64,0.0,1950
28,1950,5,278.15,272.59444444444443,260.3722222222222,16.0,29.65,29.59,0.0,1950
29,1950,6,283.15,280.3722222222222,275.3722222222222,23.0,29.59,29.53,1.0,1950
30,1950,7,289.81666666666666,287.0388888888889,281.4833333333333,27.0,29.73,29.67,0.0,1950
31,1950,8,288.15,285.3722222222222,277.59444444444443,26.0,29.72,29.66,2.0,1950
32,1950,9,279.81666666666666,277.59444444444443,271.4833333333333,33.0,29.52,29.46,0.0,1950
33,1950,10,277.0388888888889,274.81666666666666,269.81666666666666,27.0,29.46,29.4,0.0,1950
34,1950,11,272.0388888888889,269.81666666666666,265.92777777777775,30.0,29.24,29.18,0.0,1950
35,1950,12,261.4833333333333,259.81666666666666,252.03888888888886,36.0,29.31,29.25,2.0,1950
36,1951,1,262.0388888888889,261.4833333333333,252.59444444444443,29.0,29.13,29.07,1.0,1950
37,1951,2,261.4833333333333,259.81666666666666,248.14999999999998,27.0,29.27,29.21,1.0,1950
38,1951,3,269.26111111111106,266.4833333333333,258.7055555555555,30.0,29.55,29.49,2.0,1950
39,1951,4,277.0388888888889,274.26111111111106,267.0388888888889,20.0,29.34,29.28,0.0,1950
40,1951,5,280.92777777777775,278.15,266.4833333333333,15.0,29.45,29.39,0.0,1950
41,1951,6,284.81666666666666,282.59444444444443,276.4833333333333,24.0,29.74,29.68,0.0,1950
42,1951,7,290.3722222222222,285.92777777777775,280.92777777777775,22.0,29.58,29.52,0.0,1950
43,1951,8,288.7055555555555,285.3722222222222,279.81666666666666,28.0,29.72,29.66,0.0,1950
44,1951,9,280.92777777777775,277.59444444444443,271.4833333333333,24.0,29.76,29.7,0.0,1950
45,1951,10,279.81666666666666,275.3722222222222,263.15,23.0,29.55,29.49,0.0,1950
46,1951,11,267.59444444444443,265.3722222222222,254.2611111111111,21.0,29.45,29.3,0.0,1950
47,1951,12,260.3722222222222,258.7055555555555,248.14999999999998,28.0,29.34,29.28,0.0,1950
48,1952,1,259.26111111111106,258.15,253.70555555555552,34.0,29.45,29.39,0.0,1950
49,1952,2,265.3722222222222,263.7055555555555,254.81666666666663,28.0,29.35,29.29,2.0,1950
50,1952,3,268.7055555555555,267.0388888888889,260.3722222222222,28.0,29.09,29.03,0.0,1950
51,1952,4,274.81666666666666,272.0388888888889,266.4833333333333,19.0,29.47,29.41,0.0,1950
52,1952,5,280.92777777777775,277.0388888888889,267.59444444444443,16.0,29.33,29.27,0.0,1950
53,1952,6,288.15,284.81666666666666,280.3722222222222,26.0,29.54,29.48,0.0,1950
54,1952,7,290.92777777777775,285.3722222222222,275.3722222222222,17.0,29.75,29.69,0.0,1950
55,1952,8,286.4833333333333,283.7055555555555,277.0388888888889,27.0,29.66,29.6,0.0,1950
56,1952,9,284.81666666666666,282.59444444444443,278.15,26.0,29.67,29.61,0.0,1950
57,1952,10,274.26111111111106,272.0388888888889,265.92777777777775,23.0,29.56,29.5,0.0,1950
58,1952,11,272.0388888888889,269.81666666666666,263.7055555555555,27.0,29.47,29.41,0.0,1950
59,1952,12,262.59444444444443,260.92777777777775,253.70555555555552,31.0,29.4,29.34,2.0,1950
60,1953,1,268.15,265.92777777777775,258.15,29.0,29.1,29.04,0.0,1950
61,1953,2,264.26111111111106,262.0388888888889,252.59444444444443,26.0,28.98,28.93,0.0,1950
62,1953,3,266.4833333333333,264.81666666666666,250.92777777777775,15.0,29.43,29.37,0.0,1950
63,1953,4,274.81666666666666,273.15,263.7055555555555,18.0,29.35,29.29,0.0,1950
64,1953,5,280.3722222222222,279.26111111111106,273.15,24.0,29.55,29.49,0.0,1950
65,1953,6,284.26111111111106,283.15,272.59444444444443,18.0,29.81,29.75,0.0,1950
66,1953,7,289.26111111111106,285.92777777777775,278.7055555555555,24.0,29.55,29.49,0.0,1950
67,1953,8,288.15,285.92777777777775,279.81666666666666,20.0,29.67,29.61,0.0,1950
68,1953,9,283.15,280.92777777777775,274.26111111111106,25.0,29.67,29.61,0.0,1950
69,1953,10,278.7055555555555,275.92777777777775,271.4833333333333,18.0,29.4,29.34,0.0,1950
70,1953,11,272.59444444444443,270.92777777777775,262.59444444444443,26.0,29.32,29.26,0.0,1950
71,1953,12,264.26111111111106,262.59444444444443,255.3722222222222,33.0,29.28,29.22,0.0,1950
72,1954,1,260.3722222222222,259.26111111111106,250.92777777777775,25.0,29.57,29.51,0.0,1950
73,1954,2,262.0388888888889,260.3722222222222,248.70555555555552,27.0,29.33,29.27,0.0,1950
74,1954,3,268.15,265.92777777777775,254.81666666666663,16.0,29.33,29.27,0.0,1950
75,1954,4,268.7055555555555,265.92777777777775,255.3722222222222,18.0,29.49,29.43,0.0,1950
76,1954,5,280.3722222222222,277.0388888888889,270.92777777777775,20.0,29.63,29.57,0.0,1950
77,1954,6,285.92777777777775,283.15,277.0388888888889,22.0,29.57,29.51,0.0,1950
78,1954,7,290.3722222222222,285.92777777777775,278.7055555555555,24.0,29.56,29.5,0.0,1950
79,1954,8,288.7055555555555,284.81666666666666,277.59444444444443,27.0,29.18,29.12,0.0,1950
80,1954,9,284.26111111111106,280.92777777777775,275.3722222222222,29.0,29.23,29.17,0.0,1950
81,1954,10,278.15,274.81666666666666,267.0388888888889,24.0,29.46,29.4,0.0,1950
82,1954,11,273.7055555555555,271.4833333333333,262.59444444444443,22.0,29.23,29.17,0.0,1950
83,1954,12,264.81666666666666,263.15,255.3722222222222,28.0,29.17,29.11,0.0,1950
84,1955,1,262.59444444444443,260.92777777777775,249.81666666666663,20.0,29.47,29.41,0.0,1950
85,1955,2,256.4833333333333,255.3722222222222,249.81666666666663,30.0,29.29,29.23,0.0,1950
86,1955,3,265.92777777777775,263.7055555555555,254.81666666666663,22.0,29.15,29.09,0.0,1950
87,1955,4,274.26111111111106,270.92777777777775,258.7055555555555,14.0,29.54,29.48,0.0,1950
88,1955,5,279.26111111111106,276.4833333333333,267.59444444444443,20.0,29.59,29.53,0.0,1950
89,1955,6,284.26111111111106,283.7055555555555,278.7055555555555,24.0,29.51,29.45,0.0,1950
90,1955,7,292.0388888888889,287.59444444444443,283.15,26.0,29.74,29.68,0.0,1950
91,1955,8,290.3722222222222,287.0388888888889,278.7055555555555,28.0,29.6,29.54,2.0,1950
92,1955,9,284.26111111111106,280.92777777777775,274.26111111111106,27.0,29.47,29.41,0.0,1950
93,1955,10,279.26111111111106,274.81666666666666,265.3722222222222,27.0,29.5,29.44,0.0,1950
94,1955,11,264.81666666666666,262.59444444444443,252.03888888888886,30.0,29.5,29.44,0.0,1950
95,1955,12,258.7055555555555,257.59444444444443,248.70555555555552,33.0,29.57,29.51,0.0,1950
96,1956,1,264.26111111111106,262.59444444444443,255.92777777777775,30.0,29.4,29.34,0.0,1950
97,1956,2,263.7055555555555,262.0388888888889,254.2611111111111,29.0,29.06,29.0,0.0,1950
98,1956,3,265.92777777777775,263.7055555555555,254.81666666666663,24.0,29.26,29.2,3.0,1950
99,1956,4,273.7055555555555,271.4833333333333,265.3722222222222,23.0,29.15,29.09,0.0,1950
100,1956,5,276.4833333333333,273.15,264.26111111111106,18.0,29.6,29.54,0.0,1950
101,1956,6,284.81666666666666,284.26111111111106,275.92777777777775,31.0,29.65,29.59,0.0,1950
102,1956,7,287.59444444444443,285.3722222222222,279.81666666666666,30.0,29.68,29.62,0.0,1950
103,1956,8,288.7055555555555,285.3722222222222,278.7055555555555,31.0,29.75,29.69,0.0,1950
104,1956,9,279.81666666666666,277.59444444444443,273.15,28.0,29.68,29.62,0.0,1950
105,1956,10,278.7055555555555,275.92777777777775,269.26111111111106,28.0,29.67,29.61,0.0,1950
106,1956,11,268.15,265.92777777777775,258.15,26.0,29.38,29.32,0.0,1950
107,1956,12,264.26111111111106,262.59444444444443,252.59444444444443,35.0,29.14,29.08,0.0,1950
108,1957,1,255.3722222222222,254.2611111111111,246.48333333333332,30.0,29.5,29.44,0.0,1950
109,1957,2,265.92777777777775,264.26111111111106,257.0388888888889,29.0,29.51,29.45,0.0,1950
110,1957,3,268.7055555555555,265.92777777777775,257.59444444444443,18.0,29.11,29.05,0.0,1950
111,1957,4,273.7055555555555,272.0388888888889,260.92777777777775,17.0,29.36,29.3,0.0,1950
112,1957,5,277.59444444444443,273.7055555555555,267.59444444444443,22.0,29.67,29.61,0.0,1950
113,1957,6,285.3722222222222,283.15,277.0388888888889,28.0,29.38,29.32,0.0,1950
114,1957,7,288.7055555555555,284.26111111111106,274.81666666666666,23.0,29.59,29.53,0.0,1950
115,1957,8,287.0388888888889,283.15,277.59444444444443,27.0,29.63,29.57,0.0,1950
116,1957,9,280.3722222222222,276.4833333333333,268.7055555555555,28.0,29.68,29.62,0.0,1950
117,1957,10,275.3722222222222,273.15,267.0388888888889,29.0,29.64,29.58,0.0,1950
118,1957,11,270.92777777777775,268.7055555555555,259.26111111111106,17.0,29.44,29.38,0.0,1950
119,1957,12,265.92777777777775,263.7055555555555,257.0388888888889,31.0,29.31,29.25,3.0,1950
120,1958,1,262.59444444444443,260.92777777777775,252.59444444444443,32.0,29.19,29.13,0.0,1950
121,1958,2,257.59444444444443,256.4833333333333,249.2611111111111,29.0,29.06,29.0,0.0,1950
122,1958,3,270.92777777777775,268.7055555555555,262.0388888888889,22.0,29.31,29.25,0.0,1950
123,1958,4,272.0388888888889,269.26111111111106,262.59444444444443,21.0,29.21,29.15,0.0,1950
124,1958,5,279.81666666666666,275.3722222222222,267.0388888888889,18.0,29.47,29.41,0.0,1950
125,1958,6,283.7055555555555,280.3722222222222,270.92777777777775,20.0,29.46,29.4,3.0,1950
126,1958,7,290.3722222222222,287.59444444444443,282.59444444444443,36.0,29.61,29.55,0.0,1950
127,1958,8,289.26111111111106,285.3722222222222,278.7055555555555,32.0,29.65,29.59,0.0,1950
128,1958,9,283.15,280.3722222222222,274.81666666666666,26.0,29.7,29.64,0.0,1950
129,1958,10,277.59444444444443,274.26111111111106,268.15,28.0,29.67,29.61,3.0,1950
130,1958,11,265.3722222222222,263.15,252.59444444444443,26.0,29.49,29.43,0.0,1950
131,1958,12,262.59444444444443,260.92777777777775,252.03888888888886,28.0,29.45,29.39,0.0,1950
132,1959,1,263.15,260.92777777777775,250.3722222222222,31.0,28.95,28.89,0.0,1950
133,1959,2,259.81666666666666,258.7055555555555,248.70555555555552,19.0,29.4,29.34,2.0,1950
134,1959,3,266.4833333333333,264.81666666666666,254.81666666666663,12.0,29.08,29.02,2.0,1950
135,1959,4,274.26111111111106,272.0388888888889,260.3722222222222,12.0,29.32,29.26,2.0,1950
136,1959,5,280.3722222222222,277.59444444444443,266.4833333333333,18.0,29.59,29.53,0.0,1950
137,1959,6,285.3722222222222,280.3722222222222,267.59444444444443,15.0,29.56,29.5,0.0,1950
138,1959,7,290.92777777777775,287.59444444444443,277.0388888888889,20.0,29.79,29.73,0.0,1950
139,1959,8,289.26111111111106,285.3722222222222,275.3722222222222,23.0,29.77,29.71,0.0,1950
140,1959,9,282.0388888888889,278.7055555555555,268.15,22.0,29.71,29.65,0.0,1950
141,1959,10,275.92777777777775,273.7055555555555,265.3722222222222,29.0,29.29,29.23,0.0,1950
142,1959,11,267.59444444444443,264.81666666666666,255.92777777777775,32.0,29.28,29.22,0.0,1950
143,1959,12,262.0388888888889,260.92777777777775,257.0388888888889,24.0,29.02,28.96,0.0,1950
144,1960,1,265.92777777777775,264.26111111111106,256.4833333333333,30.0,29.28,29.22,0.0,1960
145,1960,2,265.92777777777775,264.26111111111106,256.4833333333333,26.0,28.95,28.89,0.0,1960
146,1960,3,263.7055555555555,261.4833333333333,252.03888888888886,20.0,29.34,29.28,0.0,1960
147,1960,4,274.81666666666666,272.0388888888889,263.7055555555555,19.0,29.36,29.31,0.0,1960
148,1960,5,279.81666666666666,276.4833333333333,268.15,20.0,29.49,29.43,0.0,1960
149,1960,6,287.0388888888889,283.15,275.3722222222222,22.0,29.62,29.56,0.0,1960
150,1960,7,289.81666666666666,285.3722222222222,277.59444444444443,26.0,29.35,29.29,0.0,1960
151,1960,8,289.26111111111106,285.92777777777775,279.26111111111106,30.0,29.73,29.67,0.0,1960
152,1960,9,285.92777777777775,283.15,277.0388888888889,32.0,28.64,28.58,0.0,1960
153,1960,10,277.59444444444443,274.81666666666666,269.26111111111106,23.0,29.43,29.37,0.0,1960
154,1960,11,273.15,269.81666666666666,261.4833333333333,25.0,29.51,29.45,0.0,1960
